,comb,lig,metric,val
0,"('FcR2A', 'FcR2B', 'FcR3A')",0,r,0.8128886138323634
1,"('FcR2A', 'FcR2B', 'FcR3A')",0,r2,-1.9243915428952345
2,"('FcR2A', 'FcR2B', 'FcR3A')",1,r,0.814302738146748
3,"('FcR2A', 'FcR2B', 'FcR3A')",1,r2,-1.2662620746898248
4,"('FcR2A', 'FcR2B', 'FcR3A')",2,r,0.8861386142098668
5,"('FcR2A', 'FcR2B', 'FcR3A')",2,r2,0.5913280826690953
6,"('FcR2A', 'FcR2B', 'FcR3A')",0,r,0.8244160442299898
7,"('FcR2A', 'FcR2B', 'FcR3A')",0,r2,-1.62484475330427
8,"('FcR2A', 'FcR2B', 'FcR3A')",1,r,0.8305579577549675
9,"('FcR2A', 'FcR2B', 'FcR3A')",1,r2,-0.8426061808399803
10,"('FcR2A', 'FcR2B', 'FcR3A')",2,r,0.8894840016958545
11,"('FcR2A', 'FcR2B', 'FcR3A')",2,r2,0.6109638469497203
12,"('FcR2A', 'FcR2B', 'FcR3A')",0,r,0.8306181716369132
13,"('FcR2A', 'FcR2B', 'FcR3A')",0,r2,-0.9079298293711675
14,"('FcR2A', 'FcR2B', 'FcR3A')",1,r,0.8454470110382518
15,"('FcR2A', 'FcR2B', 'FcR3A')",1,r2,-0.18307233331235384
16,"('FcR2A', 'FcR2B', 'FcR3A')",2,r,0.8913197209013828
17,"('FcR2A', 'FcR2B', 'FcR3A')",2,r2,0.6289478069583769
18,"('FcR2A', 'FcR2B', 'FcR3B')",0,r,0.6946338636656728
19,"('FcR2A', 'FcR2B', 'FcR3B')",0,r2,-2.5997307933423617
20,"('FcR2A', 'FcR2B', 'FcR3B')",1,r,0.7164634415792774
21,"('FcR2A', 'FcR2B', 'FcR3B')",1,r2,-1.6119871138686466
22,"('FcR2A', 'FcR2B', 'FcR3B')",2,r,0.9142499531253148
23,"('FcR2A', 'FcR2B', 'FcR3B')",2,r2,0.614205944204682
24,"('FcR2A', 'FcR2B', 'FcR3B')",0,r,0.8285482056809161
25,"('FcR2A', 'FcR2B', 'FcR3B')",0,r2,-1.6707739891568005
26,"('FcR2A', 'FcR2B', 'FcR3B')",1,r,0.8398355033634932
27,"('FcR2A', 'FcR2B', 'FcR3B')",1,r2,-0.901812458849242
28,"('FcR2A', 'FcR2B', 'FcR3B')",2,r,0.9109990960736465
29,"('FcR2A', 'FcR2B', 'FcR3B')",2,r2,0.6126752872251444
30,"('FcR2A', 'FcR2B', 'FcR3B')",0,r,0.7088635302825232
31,"('FcR2A', 'FcR2B', 'FcR3B')",0,r2,-1.9795196356659703
32,"('FcR2A', 'FcR2B', 'FcR3B')",1,r,0.7266645785091097
33,"('FcR2A', 'FcR2B', 'FcR3B')",1,r2,-1.094887411337644
34,"('FcR2A', 'FcR2B', 'FcR3B')",2,r,0.9168527506805701
35,"('FcR2A', 'FcR2B', 'FcR3B')",2,r2,0.6089740603949662
36,"('FcR2A', 'FcR3A', 'FcR3B')",0,r,0.9062365970325041
37,"('FcR2A', 'FcR3A', 'FcR3B')",0,r2,0.4178017587747147
38,"('FcR2A', 'FcR3A', 'FcR3B')",1,r,0.7442949699592663
39,"('FcR2A', 'FcR3A', 'FcR3B')",1,r2,0.1652863022285529
40,"('FcR2A', 'FcR3A', 'FcR3B')",2,r,0.7977596888939572
41,"('FcR2A', 'FcR3A', 'FcR3B')",2,r2,0.5703298486797852
42,"('FcR2A', 'FcR3A', 'FcR3B')",0,r,0.908358956793902
43,"('FcR2A', 'FcR3A', 'FcR3B')",0,r2,0.41907217163490074
44,"('FcR2A', 'FcR3A', 'FcR3B')",1,r,0.7416155856183055
45,"('FcR2A', 'FcR3A', 'FcR3B')",1,r2,0.15049103369479022
46,"('FcR2A', 'FcR3A', 'FcR3B')",2,r,0.8005081037759894
47,"('FcR2A', 'FcR3A', 'FcR3B')",2,r2,0.5674725061223168
48,"('FcR2A', 'FcR3A', 'FcR3B')",0,r,0.8987550892132148
49,"('FcR2A', 'FcR3A', 'FcR3B')",0,r2,0.32430343725329536
50,"('FcR2A', 'FcR3A', 'FcR3B')",1,r,0.7763351843688518
51,"('FcR2A', 'FcR3A', 'FcR3B')",1,r2,0.15745390250546354
52,"('FcR2A', 'FcR3A', 'FcR3B')",2,r,0.8504059801551624
53,"('FcR2A', 'FcR3A', 'FcR3B')",2,r2,0.6386312549742084
54,"('FcR2B', 'FcR3A', 'FcR3B')",0,r,0.926615974517129
55,"('FcR2B', 'FcR3A', 'FcR3B')",0,r2,0.3808906452537526
56,"('FcR2B', 'FcR3A', 'FcR3B')",1,r,0.8386969733097076
57,"('FcR2B', 'FcR3A', 'FcR3B')",1,r2,0.6678596697695898
58,"('FcR2B', 'FcR3A', 'FcR3B')",2,r,0.8739788760565323
59,"('FcR2B', 'FcR3A', 'FcR3B')",2,r2,0.7073326375034661
60,"('FcR2B', 'FcR3A', 'FcR3B')",0,r,0.9251616315092162
61,"('FcR2B', 'FcR3A', 'FcR3B')",0,r2,0.36867943450558327
62,"('FcR2B', 'FcR3A', 'FcR3B')",1,r,0.8345794663319859
63,"('FcR2B', 'FcR3A', 'FcR3B')",1,r2,0.6617501695787325
64,"('FcR2B', 'FcR3A', 'FcR3B')",2,r,0.8659793693987504
65,"('FcR2B', 'FcR3A', 'FcR3B')",2,r2,0.6886325628637202
66,"('FcR2B', 'FcR3A', 'FcR3B')",0,r,0.9235293319759208
67,"('FcR2B', 'FcR3A', 'FcR3B')",0,r2,0.341631551965937
68,"('FcR2B', 'FcR3A', 'FcR3B')",1,r,0.8475189615422323
69,"('FcR2B', 'FcR3A', 'FcR3B')",1,r2,0.6850999426310411
70,"('FcR2B', 'FcR3A', 'FcR3B')",2,r,0.8769923930991137
71,"('FcR2B', 'FcR3A', 'FcR3B')",2,r2,0.7072144689331299
